Model,Estimation Method,raw_dECE,raw_dECE_pt,dECE_reg,dECE_pt_reg,dECE_kl,dECE_pt_kl,raw_dAUROC,raw_dAUROC_pt,dAUROC_reg,dAUROC_pt_reg,dAUROC_kl,dAUROC_pt_kl
LLAMA-3.1-8B-INSTRUCT,Linguistic Confidence,0.11641627775608818,0.09975539645961362,0.05078885473606693,0.045624499690279444,0.05219257577442255,0.04568964282791644,0.765677,0.7904516202469793,0.781512,0.7847758232646292,0.779599,0.7846508066068467
LLAMA-3.1-8B-INSTRUCT,Self-Evaluation,0.12151832088211152,0.10295420177144075,0.02672223489444526,0.024930332384614465,0.029234540136840154,0.02237337053602556,0.700275,0.7229461660466733,0.722135,0.7225578873482845,0.721978,0.7224012243006951
LLAMA-3.1-8B-INSTRUCT,Semantic Uncertainty,0.21723103443697764,0.10095531563003102,0.025829971444373004,0.007897682961032201,0.026940244328427558,0.008457043358096127,0.739931,0.8472049415020901,0.84557,0.8481336895975249,0.845485,0.8481628819125153
LLAMA-3.1-8B-INSTRUCT,Token Probability,0.2794328146235809,0.2654355153533953,0.03024886249454712,0.014075420425703629,0.03209268361639401,0.014509884553466822,0.725672,0.8314425381073703,0.829412,0.8310407237409405,0.828716,0.8309758937407876
META-LLAMA-3-8B-INSTRUCT,Linguistic Confidence,0.11893669894103891,0.09475018083369499,0.05268081760074209,0.04945556097437365,0.053853148411376194,0.04929105201033748,0.647321,0.6684154559494517,0.661601,0.6687064986830487,0.658518,0.6686783524995352
META-LLAMA-3-8B-INSTRUCT,Self-Evaluation,0.14508782086432928,0.1354883010139808,0.016030477016671492,0.010456106445774936,0.025628123035709747,0.011681852166254945,0.654451,0.6698953738362966,0.670303,0.6694832844556834,0.670131,0.6694049540408049
META-LLAMA-3-8B-INSTRUCT,Semantic Uncertainty,0.2071853492939386,0.060715242449006,0.029632204436843293,0.016636488536209852,0.03002858561420163,0.016922879596316043,0.736884,0.8649246587088729,0.862973,0.864637987353988,0.862698,0.8646185038495142
META-LLAMA-3-8B-INSTRUCT,Token Probability,0.1356615192712348,0.09013302324044999,0.032757576131659326,0.020846822089907898,0.033795448550773946,0.019295290751073155,0.664672,0.7547994587608046,0.754404,0.7570031737001407,0.753245,0.756948259148558
MISTRAL-7B-INSTRUCT-V0.3,Linguistic Confidence,0.20987942316950522,0.2014882230166412,0.03796368553160868,0.030086498928920506,0.04191612729275958,0.030377839132745166,0.604276,0.6678450406269987,0.669849,0.673698645756826,0.660861,0.6738382575953242
MISTRAL-7B-INSTRUCT-V0.3,Self-Evaluation,0.15732296282808728,0.15061957868649306,0.01439292194839495,0.009225270435983379,0.02548862621832304,0.010349179533017401,0.623464,0.6326143035808647,0.631745,0.6321871973088515,0.63216,0.6317261092482016
MISTRAL-7B-INSTRUCT-V0.3,Semantic Uncertainty,0.20348234865166534,0.038957855489052264,0.03052836507986633,0.01832087992964001,0.03126200973436869,0.017832474148202736,0.718108,0.834250312930193,0.830153,0.8317848492807581,0.830196,0.8316942763085594
MISTRAL-7B-INSTRUCT-V0.3,Token Probability,0.1423123388138493,0.12453616364239094,0.030927270459533182,0.021074850190728585,0.03273280595872218,0.020689486855112148,0.630125,0.706692867268705,0.708013,0.7112387632871096,0.706298,0.7111713062203538
QWEN2.5-7B-INSTRUCT,Linguistic Confidence,0.1266483953358582,0.08945556387975998,0.0815162989538844,0.08097628568193768,0.08172621523732447,0.08064404153292917,0.745572,0.7744403853166972,0.764542,0.769145478447843,0.763267,0.7690027519608279
QWEN2.5-7B-INSTRUCT,Self-Evaluation,0.17853612520004117,0.17424242424242406,0.011099501944221928,0.004236937271153317,0.02255987478284185,0.004407289757104464,0.686007,0.6898039380458065,0.68931,0.6884625308947108,0.688212,0.6879396770472896
QWEN2.5-7B-INSTRUCT,Semantic Uncertainty,0.1976430060490487,0.03495447911991631,0.02959482850824234,0.01789193964503295,0.03033581574298145,0.01774253241207683,0.776824,0.8658773457446106,0.864573,0.8658427367749492,0.864562,0.8658364640037441
QWEN2.5-7B-INSTRUCT,Token Probability,0.10620184168857529,0.0666923828656612,0.03539973500728478,0.02958347895966495,0.03610459104155541,0.029843505076292784,0.721323,0.7815125332495616,0.780764,0.7826336986932247,0.780694,0.7826424326167403
QWEN3-8B,Linguistic Confidence,0.2677697237412403,0.26188354914370804,0.03723328958904773,0.031650694651084006,0.042187882846253535,0.03201406568164531,0.595884,0.6589278214934733,0.659363,0.6621280610017273,0.652792,0.6621951073625213
QWEN3-8B,Self-Evaluation,0.16013457817200172,0.14889212406558439,0.031147494326094573,0.030600639289848613,0.03476509208244206,0.02766745308530101,0.712797,0.740070346172964,0.737291,0.7376482078535778,0.737288,0.7367083353193112
QWEN3-8B,Semantic Uncertainty,0.19313486071985098,0.020369323179327745,0.031760989691049075,0.021425433632403054,0.03283169359274185,0.02170167908678393,0.775436,0.8779374102274471,0.878039,0.8788431891394386,0.877515,0.8788580234001311
QWEN3-8B,Token Probability,0.16550995401882643,0.1516204542362479,0.032312956045292836,0.02807589499519432,0.032832535743811786,0.027754758621124,0.693224,0.7698952351248667,0.771971,0.7734862659610485,0.771848,0.7735146934810178
GPT-OSS-20B,Linguistic Confidence,0.2215851174024566,0.21480863255312085,0.028267720643119,0.01797228236397106,0.03234599987361525,0.01701526035326409,0.747645,0.77529346916574,0.779303,0.7797705929368314,0.776082,0.7797899442391616
GPT-OSS-20B,Self-Evaluation,0.13337397164242332,0.10563338578413942,0.028636932593619695,0.024036422559305323,0.028785062943163825,0.021208045828929774,0.862529,0.8908776726386164,0.890413,0.8908776726386164,0.890503,0.8908776726386164
GPT-OSS-20B,Semantic Uncertainty,0.21123804497033283,0.07880742519388236,0.027913897264762934,0.018098776041540747,0.02817741121810419,0.018111518056332373,0.786449,0.9016451120856913,0.90141,0.9024490939761621,0.900989,0.9024456899550518
GPT-OSS-20B,Token Probability,0.147879944667584,0.0850773045907914,0.04013424468789201,0.03479029458333471,0.04226913734828481,0.03510980748864127,0.65278,0.7459537860645455,0.756246,0.757493744875074,0.755829,0.7575651883800617
