,Model,Estimation Method,Acc,Acc_dist,ECE,dECE,dECE_pt,AUROC,dAUROC,dAUROC_pt
0,LLAMA-3.1-8B-INSTRUCT,Linguistic Confidence,0.6952567267109404,0.6938940116768005,0.0991871295288945,0.112919860009066,0.0946110796045517,0.7739917807160677,0.7676665,0.7923384822686543
1,LLAMA-3.1-8B-INSTRUCT,Self-Evaluation,0.7691484473534104,0.7090974970734154,0.1333370471151396,0.1233978037102767,0.1052517670393271,0.6712798592067895,0.6962459999999999,0.7199984166064017
2,LLAMA-3.1-8B-INSTRUCT,Semantic Uncertainty,0.7414083030265319,0.7420092734487638,0.2968392007266631,0.2162137642257121,0.0988197600188564,0.8049692466969598,0.7407535000000001,0.8499376087255585
3,LLAMA-3.1-8B-INSTRUCT,Token Probability,0.7691021555905746,0.7737457938382053,0.0186657471026855,0.2807099885755654,0.2672177494083777,0.7234747321343675,0.723304,0.8283314560572628
4,META-LLAMA-3-8B-INSTRUCT,Linguistic Confidence,0.6985831134669739,0.6997193611103855,0.1194401287637894,0.1241515223332935,0.1016076588206326,0.638232838518934,0.6373499666666668,0.657177844128407
5,META-LLAMA-3-8B-INSTRUCT,Self-Evaluation,0.7625140693585367,0.7159856633296413,0.1815846050337322,0.1450234265881741,0.1352807516449201,0.6517340559906785,0.6553614999999999,0.6705835237994651
6,META-LLAMA-3-8B-INSTRUCT,Semantic Uncertainty,0.7459175211692954,0.7467814746697876,0.2490216099735822,0.2068015100723643,0.0612443315015091,0.8069188545973791,0.737591,0.8672786396392111
7,META-LLAMA-3-8B-INSTRUCT,Token Probability,0.7623553824521905,0.7678989185193016,0.0771554061655379,0.1363676189569941,0.0904695982899701,0.6898940929692334,0.6634945,0.7539385932272644
8,MISTRAL-7B-INSTRUCT-V0.3,Linguistic Confidence,0.7047100306009193,0.7048887897876135,0.2120680646917226,0.2117645125810355,0.2033682060925268,0.615727868055171,0.6046005,0.6693619493217864
9,MISTRAL-7B-INSTRUCT-V0.3,Self-Evaluation,0.7289297658862877,0.7111885015711918,0.2686310222513524,0.1571940793409817,0.1502086988983792,0.5151476549244545,0.6229965,0.6327514492892694
10,MISTRAL-7B-INSTRUCT-V0.3,Semantic Uncertainty,0.7190468743799181,0.7209619986356476,0.4002566585809525,0.2035962861560094,0.0404720914672311,0.7151703293959206,0.720586,0.8348227733745819
11,MISTRAL-7B-INSTRUCT-V0.3,Token Probability,0.7287015923973446,0.734206258138487,0.0861591108784957,0.1431970890098106,0.1263327000543326,0.6369180666654034,0.6267205,0.6999255328734066
12,QWEN2.5-7B-INSTRUCT,Linguistic Confidence,0.545472287697631,0.5451403550159961,0.0774394716869847,0.127122909389273,0.0900008777952519,0.7381584419028056,0.7445925,0.7741811153761788
13,QWEN2.5-7B-INSTRUCT,Self-Evaluation,0.6533091872761994,0.6257281139438768,0.2264030219198214,0.1780603086430509,0.1736796155890895,0.6506637954678407,0.6869924999999999,0.6910185754668461
14,QWEN2.5-7B-INSTRUCT,Semantic Uncertainty,0.6387704458768262,0.6402552771604834,0.2397160871801825,0.1977856849844163,0.0350639020271824,0.8030762654343895,0.777242,0.8666716527156025
15,QWEN2.5-7B-INSTRUCT,Token Probability,0.6532608855769102,0.664000668821759,0.2103845639374749,0.1069120049401624,0.0674891013649715,0.7448707256639493,0.721221,0.7809860225904199
16,QWEN3-8B,Linguistic Confidence,0.6381193913382754,0.6370275393020404,0.2638138067292856,0.2682336777496591,0.2627893509634103,0.6067467492779055,0.5983965,0.6627594266013934
17,QWEN3-8B,Self-Evaluation,0.6685247171933072,0.6539107404313738,0.2360316233219373,0.1634660367813732,0.1529911427786237,0.6375625006649952,0.7111935,0.7381749892094221
18,QWEN3-8B,Semantic Uncertainty,0.6743312021656631,0.6745254921612887,0.2638822071975065,0.1927184573469667,0.0220282883007746,0.7897347366324842,0.775625,0.8769134182918052
19,QWEN3-8B,Token Probability,0.6678278140007048,0.6817434044671746,0.2529381200777874,0.1659457197318877,0.1518978174003356,0.7247341672814798,0.6912625,0.7685932146733426
20,GPT-OSS-20B,Linguistic Confidence,0.6055313058215186,0.6002170482259199,0.2269367521234465,0.2199834310934009,0.2124842383545687,0.7333591401497417,0.7501045,0.7767719565484352
21,GPT-OSS-20B,Self-Evaluation,0.655492430332185,0.6131377974711598,0.1885616132773404,0.1308118475297759,0.1028967786597544,0.7904225728632053,0.8628705,0.8903658956912601
22,GPT-OSS-20B,Semantic Uncertainty,0.6578698994865927,0.6580187341660139,0.1878656239519285,0.2122935724219616,0.0801168348342471,0.8774082982353958,0.7849655,0.9008810305986168
23,GPT-OSS-20B,Token Probability,0.6534054209014819,0.6409163475686364,0.169924876184905,0.1476285290792183,0.0820214211703816,0.5403433582427312,0.653068,0.7439160552782298
