model,method,gece,fd,dauroc,n_total,n_matched,pct_missing
Llama-3.1-8B,wang_uncal,0.4160651113110427,2.7199393069170643,0.7654,571,31,94.57092819614711
Llama-3.1-8B,wang_cal,0.08568071568983869,0.3779116713930919,0.5676,571,31,94.57092819614711
Llama-3.1-8B,ralc_orig,0.4266761227177914,1.8284753963139375,0.6051,571,31,94.57092819614711
Llama-3.1-8B,ralc_cal,0.1153260474542049,0.4562233505340333,0.5557,571,31,94.57092819614711
Mistral-7B,wang_uncal,0.19387686811454058,1.9165171275426713,0.6161,571,24,95.79684763572679
Mistral-7B,wang_cal,0.27019963327119256,0.984527696810823,0.4932,571,24,95.79684763572679
Mistral-7B,ralc_orig,0.3740181445492032,1.781701991624782,0.5664,571,24,95.79684763572679
Mistral-7B,ralc_cal,0.1198449896037845,0.4877786331206545,0.5321,571,24,95.79684763572679
GPT-OSS-20B,wang_uncal,0.33939243518048007,0.7619444108924756,0.5445,571,43,92.46935201401051
GPT-OSS-20B,wang_cal,0.3096269293176332,9.27405403518169,0.5728,571,43,92.46935201401051
GPT-OSS-20B,ralc_orig,0.3923309326778563,2.2651771441573527,0.5683,571,43,92.46935201401051
GPT-OSS-20B,ralc_cal,0.1103962778426306,0.4577002097609654,0.5343,571,43,92.46935201401051
Qwen3-8B,wang_uncal,0.3263226805711642,4.370177369384674,0.3504,571,9,98.42381786339755
Qwen3-8B,wang_cal,0.1650710171657011,0.6103309528350097,0.5033,571,9,98.42381786339755
Qwen3-8B,ralc_orig,0.4421168887709607,2.0537941094044863,0.5981,571,9,98.42381786339755
Qwen3-8B,ralc_cal,0.1272923484626958,0.4485809354385883,0.5469,571,9,98.42381786339755
